date,revenue,orders,customers
2024-04-08,1580.64,29,27
2024-04-09,1502.24,27,23
2024-04-10,1141.64,18,14
2024-04-11,1433.82,27,21
2024-04-12,1451.13,26,19
2024-04-13,1307.36,21,19
2024-04-14,1493.94,28,21
2024-04-15,1658.03,28,24
2024-04-16,2097.37,33,26
2024-04-17,1578.83,24,20
2024-04-18,1598.89,33,29
2024-04-19,1494.73,23,21
2024-04-20,937.14,17,13
2024-04-21,1500.81,29,21
2024-04-22,1523.13,28,21
2024-04-23,2240.64,34,31
2024-04-24,1440.88,26,24
2024-04-25,1586.31,30,26
2024-04-26,1483.04,25,21
2024-04-27,1140.81,22,19
2024-04-28,1832.59,39,30
2024-04-29,1714.03,36,33
2024-04-30,1724.86,36,30
2024-05-01,1214.22,25,20
2024-05-02,1907.77,39,33
2024-05-03,1066.69,18,13
2024-05-04,1664.03,34,26
2024-05-05,2146.27,41,36
2024-05-06,1193.56,18,13
2024-05-07,1322.87,24,20
2024-05-08,1525.14,26,20
2024-05-09,1347.13,27,22
2024-05-10,1036.36,21,16
2024-05-11,1525.98,33,27
2024-05-12,1191.04,24,21
2024-05-13,1656.59,32,25
2024-05-14,1243.94,25,21
2024-05-15,1990.47,42,35
2024-05-16,1296.71,27,23
2024-05-17,1441.74,26,24
2024-05-18,1789.56,36,32
2024-05-19,1183.87,22,17
2024-05-20,1629.45,29,21
2024-05-21,1961.92,33,26
2024-05-22,1096.57,23,19
2024-05-23,1643.7,26,19
2024-05-24,1676.24,29,24
2024-05-25,1843.25,39,33
2024-05-26,1248.49,19,15
2024-05-27,1234.77,19,17
2024-05-28,1799.26,38,29
2024-05-29,1743.99,34,26
2024-05-30,1742.69,28,25
2024-05-31,1784.55,29,24
2024-06-01,1490.11,30,26
2024-06-02,1777.69,36,30
2024-06-03,1810.25,34,27
2024-06-04,1522.72,27,24
2024-06-05,2311.85,40,36
2024-06-06,1909.73,36,32
2024-06-07,1426.01,26,20
2024-06-08,1996.55,33,28
2024-06-09,1523.7,33,27
2024-06-10,2069.09,41,31
2024-06-11,2197.72,37,34
2024-06-12,1621.41,25,19
2024-06-13,2174.41,39,36
2024-06-14,2027.29,36,30
2024-06-15,2168.4,45,35
2024-06-16,2509.41,46,39
2024-06-17,1885.57,33,30
2024-06-18,1752.12,35,31
2024-06-19,1730.65,34,30
2024-06-20,1772.22,33,29
2024-06-21,2013.48,44,39
2024-06-22,2158.77,41,37
2024-06-23,2159.4,43,34
2024-06-24,2344.64,45,38
2024-06-25,2120.61,44,34
2024-06-26,2573.1,40,37
2024-06-27,2078.06,36,33
2024-06-28,2993.99,51,38
2024-06-29,2386.19,39,34
2024-06-30,1961.93,35,32
2024-07-01,1918.42,41,32
2024-07-02,2405.05,43,37
2024-07-03,2213.88,39,36
2024-07-04,2515.71,41,31
2024-07-05,2464.03,45,40
2024-07-06,2320.7,48,38
2024-07-07,2108.92,41,38
2024-07-08,1928.83,36,33
2024-07-09,2269.56,39,36
2024-07-10,2680.53,47,39
2024-07-11,2507.8,48,44
2024-07-12,2089.67,32,29
2024-07-13,2534.99,44,35
2024-07-14,2618.09,52,47
2024-07-15,2256.6,47,35
2024-07-16,2586.93,53,46
2024-07-17,2577.1,51,40
2024-07-18,2235.32,46,35
2024-07-19,2703.88,55,42
2024-07-20,2782.84,54,48
2024-07-21,2957.3,61,49
2024-07-22,2966.0,47,42
2024-07-23,2253.74,48,36
2024-07-24,2402.55,43,34
2024-07-25,2854.93,53,45
2024-07-26,2870.73,44,39
2024-07-27,2886.94,61,49
2024-07-28,3903.7,73,63
2024-07-29,2934.24,45,41
2024-07-30,3118.34,50,43
2024-07-31,3078.18,50,39
2024-08-01,3001.3,59,44
2024-08-02,2724.8,56,51
2024-08-03,3060.15,52,39
2024-08-04,2613.26,41,37
2024-08-05,2786.27,49,41
2024-08-06,2723.48,48,45
2024-08-07,2904.98,57,51
2024-08-08,3585.7,59,56
2024-08-09,2341.54,48,39
2024-08-10,3117.57,60,54
2024-08-11,2437.37,45,37
2024-08-12,2788.64,50,42
2024-08-13,3265.47,65,56
2024-08-14,2966.16,62,57
2024-08-15,2631.17,45,42
2024-08-16,2747.05,54,48
2024-08-17,3172.19,56,46
2024-08-18,2755.4,57,47
2024-08-19,3045.17,55,49
2024-08-20,2999.16,53,42
2024-08-21,2794.79,60,46
2024-08-22,3637.77,70,57
2024-08-23,3188.61,66,53
2024-08-24,2394.28,51,41
2024-08-25,3060.7,47,37
2024-08-26,2808.71,54,40
2024-08-27,3265.01,53,39
2024-08-28,2773.11,55,52
2024-08-29,2977.61,50,41
2024-08-30,3164.25,52,42
2024-08-31,3272.79,57,50
2024-09-01,2652.87,48,38
2024-09-02,2912.1,54,50
2024-09-03,2869.06,55,49
2024-09-04,2814.26,44,33
2024-09-05,3538.22,57,47
2024-09-06,3128.04,48,44
2024-09-07,2625.89,55,51
2024-09-08,3276.77,54,45
2024-09-09,3634.98,57,49
2024-09-10,3304.68,67,52
2024-09-11,2535.42,54,51
2024-09-12,2841.95,47,37
2024-09-13,3363.01,59,55
2024-09-14,2766.07,44,38
2024-09-15,3106.69,64,55
2024-09-16,3200.87,52,44
2024-09-17,2685.11,54,42
2024-09-18,2939.81,60,47
2024-09-19,1979.58,40,31
2024-09-20,2638.74,43,33
2024-09-21,2864.21,49,44
2024-09-22,2559.42,46,37
2024-09-23,3417.11,65,49
2024-09-24,2491.85,39,36
2024-09-25,2782.27,52,48
2024-09-26,2946.81,48,44
2024-09-27,3333.2,61,57
2024-09-28,2463.22,46,36
2024-09-29,3236.05,59,48
2024-09-30,2883.26,56,50
2024-10-01,2578.82,43,38
2024-10-02,3004.98,54,42
2024-10-03,2919.17,58,52
2024-10-04,2672.53,42,33
2024-10-05,2866.73,54,42
2024-10-06,2723.46,48,41
2024-10-07,2866.46,45,39
2024-10-08,3024.49,52,45
2024-10-09,3295.22,69,53
2024-10-10,2441.77,38,35
2024-10-11,3446.87,59,47
2024-10-12,2215.35,42,32
2024-10-13,2749.63,57,52
2024-10-14,2966.04,48,45
2024-10-15,2868.44,49,45
2024-10-16,2592.15,46,41
2024-10-17,2711.57,43,37
2024-10-18,2621.41,43,36
2024-10-19,2588.08,53,40
2024-10-20,3015.62,58,48
2024-10-21,2863.98,57,46
2024-10-22,2545.45,42,33
2024-10-23,3019.96,66,59
2024-10-24,2839.37,50,42
2024-10-25,2988.47,49,37
2024-10-26,2931.28,46,36
2024-10-27,2491.84,48,42
2024-10-28,2571.0,41,31
2024-10-29,2962.14,62,57
2024-10-30,2920.35,47,39
2024-10-31,2730.66,57,48
2024-11-01,2772.23,52,45
2024-11-02,3120.85,51,46
2024-11-03,2561.03,53,43
2024-11-04,2904.0,58,51
2024-11-05,2681.03,45,38
2024-11-06,2678.64,45,36
2024-11-07,3076.28,53,49
2024-11-08,2997.44,50,45
2024-11-09,2997.48,53,46
2024-11-10,3149.16,62,57
2024-11-11,2768.36,53,48
2024-11-12,2971.67,61,54
2024-11-13,2679.49,42,38
2024-11-14,2875.78,50,44
2024-11-15,2745.92,51,45
2024-11-16,2820.97,52,45
2024-11-17,2977.8,46,41
2024-11-18,2561.65,53,41
2024-11-19,3443.16,60,55
2024-11-20,2522.43,45,41
2024-11-21,2469.25,43,32
2024-11-22,3190.67,70,64
2024-11-23,3090.93,49,38
2024-11-24,3051.32,47,38
2024-11-25,3063.69,54,48
2024-11-26,2883.07,48,37
2024-11-27,2629.56,41,37
2024-11-28,2933.91,49,44
2024-11-29,2720.88,56,47
2024-11-30,3229.85,57,42
2024-12-01,2906.9,50,40
2024-12-02,2717.47,50,43
2024-12-03,2883.21,48,45
2024-12-04,3118.4,48,42
2024-12-05,2840.68,44,35
2024-12-06,2778.78,51,44
2024-12-07,3114.56,65,55
2024-12-08,3131.29,48,43
2024-12-09,2922.41,47,36
2024-12-10,2950.2,62,55
2024-12-11,3178.46,50,42
2024-12-12,2692.05,43,40
2024-12-13,2722.15,49,40
2024-12-14,2947.05,51,44
2024-12-15,3117.01,58,54
2024-12-16,3293.02,71,54
2024-12-17,3661.3,70,65
2024-12-18,3495.15,57,50
2024-12-19,3209.23,71,54
2024-12-20,3271.06,63,51
2024-12-21,2995.74,56,49
2024-12-22,3310.83,59,45
2024-12-23,3249.82,51,44
2024-12-24,3453.4,66,54
2024-12-25,3128.69,60,52
2024-12-26,3553.04,59,44
2024-12-27,3877.51,71,65
2024-12-28,3405.58,68,64
2024-12-29,3579.29,66,62
2024-12-30,3686.43,77,69
2024-12-31,3379.63,69,53
